,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,return_on_investment_perc
11,Bryan Singer,434.0,169.0,0.0,903.0,Marlon Brando,18000.0,200069408.0,Kevin Spacey,Superman Returns ,240396.0,29991.0,Frank Langella,0.0,crystal|epic|lex luthor|lois lane|return to earth,2367.0,USA,PG-13,209000000.0,2006.0,10000.0,6.1,0.0,-8930592.0,-4.273010526315789
12,Marc Forster,403.0,106.0,395.0,393.0,Mathieu Amalric,451.0,168368427.0,Giancarlo Giannini,Quantum of Solace ,330784.0,2023.0,Rory Kinnear,1.0,action hero|attempted rape|bond girl|official james bond series|revenge,1243.0,UK,PG-13,200000000.0,2008.0,412.0,6.7,0.0,-31631573.0,-15.815786500000002
13,Gore Verbinski,313.0,151.0,563.0,1000.0,Orlando Bloom,40000.0,423032628.0,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040.0,48486.0,Jack Davenport,2.0,box office hit|giant squid|heart|liar's dice|monster,1832.0,USA,PG-13,225000000.0,2006.0,5000.0,7.3,5000.0,198032628.0,88.01450133333333
14,Gore Verbinski,450.0,150.0,563.0,1000.0,Ruth Wilson,40000.0,89289910.0,Johnny Depp,The Lone Ranger ,181792.0,45757.0,Tom Wilkinson,1.0,horse|outlaw|texas|texas ranger|train,711.0,USA,PG-13,215000000.0,2013.0,2000.0,6.5,48000.0,-125710090.0,-58.46980930232558
15,Zack Snyder,733.0,143.0,0.0,748.0,Christopher Meloni,15000.0,291021565.0,Henry Cavill,Man of Steel ,548573.0,20495.0,Harry Lennix,0.0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,2536.0,USA,PG-13,225000000.0,2013.0,3000.0,7.2,118000.0,66021565.0,29.342917777777778
16,Andrew Adamson,258.0,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922.0,22697.0,Damián Alcázar,4.0,brother brother relationship|brother sister relationship|good versus evil|king|narnia,438.0,USA,PG,225000000.0,2008.0,216.0,6.6,0.0,-83385977.0,-37.06043422222222
17,Joss Whedon,703.0,173.0,0.0,19000.0,Robert Downey Jr.,26000.0,623279547.0,Chris Hemsworth,The Avengers ,995415.0,87697.0,Scarlett Johansson,3.0,alien invasion|assassin|battle|iron man|soldier,1722.0,USA,PG-13,220000000.0,2012.0,21000.0,8.1,123000.0,403279547.0,183.308885
18,Rob Marshall,448.0,136.0,252.0,1000.0,Sam Claflin,40000.0,241063875.0,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704.0,54083.0,Stephen Graham,4.0,blackbeard|captain|pirate|revenge|soldier,484.0,USA,PG-13,250000000.0,2011.0,11000.0,6.7,58000.0,-8936125.0,-3.5744499999999997
19,Barry Sonnenfeld,451.0,106.0,188.0,718.0,Michael Stuhlbarg,10000.0,179020854.0,Will Smith,Men in Black 3 ,268154.0,12572.0,Nicole Scherzinger,1.0,alien|criminal|m.i.b.|maximum security prison|prison,341.0,USA,PG-13,225000000.0,2012.0,816.0,6.8,40000.0,-45979146.0,-20.435176
20,Peter Jackson,422.0,164.0,0.0,773.0,Adam Brown,5000.0,255108370.0,Aidan Turner,The Hobbit: The Battle of the Five Armies ,354228.0,9152.0,James Nesbitt,0.0,army|elf|hobbit|middle earth|orc,802.0,Others,PG-13,250000000.0,2014.0,972.0,7.5,65000.0,5108370.0,2.043348
21,Marc Webb,599.0,153.0,464.0,963.0,Andrew Garfield,15000.0,262030663.0,Emma Stone,The Amazing Spider-Man ,451803.0,28489.0,Chris Zylka,0.0,lizard|outcast|spider|spider man|teenager,1225.0,USA,PG-13,230000000.0,2012.0,10000.0,7.0,56000.0,32030663.0,13.926375217391303
22,Ridley Scott,343.0,156.0,0.0,738.0,William Hurt,891.0,105219735.0,Mark Addy,Robin Hood ,211765.0,3244.0,Scott Grimes,0.0,1190s|archer|england|king of england|robin hood,546.0,USA,PG-13,200000000.0,2010.0,882.0,6.7,17000.0,-94780265.0,-47.3901325
23,Peter Jackson,509.0,186.0,0.0,773.0,Adam Brown,5000.0,258355354.0,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540.0,9152.0,James Nesbitt,6.0,dwarf|elf|lake town|mountain|sword and sorcery,951.0,USA,PG-13,225000000.0,2013.0,972.0,7.9,83000.0,33355354.0,14.824601777777776
24,Chris Weitz,251.0,113.0,129.0,1000.0,Eva Green,16000.0,70083519.0,Christopher Lee,The Golden Compass ,149019.0,24106.0,Kristin Scott Thomas,2.0,children|epic|friend|girl|quest,666.0,USA,PG-13,180000000.0,2007.0,6000.0,6.1,0.0,-109916481.0,-61.06471166666667
25,Peter Jackson,446.0,201.0,0.0,84.0,Thomas Kretschmann,6000.0,218051260.0,Naomi Watts,King Kong ,316018.0,7123.0,Evan Parke,0.0,animal name in title|ape abducts a woman|gorilla|island|king kong,2618.0,Others,PG-13,207000000.0,2005.0,919.0,7.2,0.0,11051260.0,5.338772946859904
26,James Cameron,315.0,194.0,0.0,794.0,Kate Winslet,29000.0,658672302.0,Leonardo DiCaprio,Titanic ,793059.0,45223.0,Gloria Stuart,0.0,artist|love|ship|titanic|wet,2528.0,USA,PG-13,200000000.0,1997.0,14000.0,7.7,26000.0,458672302.0,229.336151
27,Anthony Russo,516.0,147.0,94.0,11000.0,Scarlett Johansson,21000.0,407197282.0,Robert Downey Jr.,Captain America: Civil War ,272670.0,64798.0,Chris Evans,0.0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,1022.0,USA,PG-13,250000000.0,2016.0,19000.0,8.2,72000.0,157197282.0,62.878912799999995
28,Peter Berg,377.0,131.0,532.0,627.0,Alexander Skarsgård,14000.0,65173160.0,Liam Neeson,Battleship ,202382.0,26679.0,Tadanobu Asano,0.0,box office flop|hawaii|naval|oahu hawaii|ship,751.0,USA,PG-13,209000000.0,2012.0,10000.0,5.9,44000.0,-143826840.0,-68.81666985645933
29,Colin Trevorrow,644.0,124.0,365.0,1000.0,Judy Greer,3000.0,652177271.0,Bryce Dallas Howard,Jurassic World ,418214.0,8458.0,Omar Sy,0.0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,1290.0,USA,PG-13,150000000.0,2015.0,2000.0,7.0,150000.0,502177271.0,334.78484733333335
30,Sam Mendes,750.0,143.0,0.0,393.0,Helen McCrory,883.0,304360277.0,Albert Finney,Skyfall ,522030.0,2039.0,Rory Kinnear,0.0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498.0,UK,PG-13,200000000.0,2012.0,563.0,7.8,80000.0,104360277.0,52.1801385
31,Sam Raimi,300.0,135.0,0.0,4000.0,James Franco,24000.0,373377893.0,J.K. Simmons,Spider-Man 2 ,411164.0,43388.0,Kirsten Dunst,1.0,death|doctor|scientist|super villain|tentacle,1303.0,USA,PG-13,200000000.0,2004.0,11000.0,7.3,0.0,173377893.0,86.6889465
32,Shane Black,608.0,195.0,1000.0,3000.0,Jon Favreau,21000.0,408992272.0,Robert Downey Jr.,Iron Man 3 ,557489.0,30426.0,Don Cheadle,3.0,armor|explosion|human bomb|missile attack|terrorist,1187.0,USA,PG-13,200000000.0,2013.0,4000.0,7.2,95000.0,208992272.0,104.496136
33,Tim Burton,451.0,108.0,13000.0,11000.0,Alan Rickman,40000.0,334185206.0,Johnny Depp,Alice in Wonderland ,306320.0,79957.0,Anne Hathaway,0.0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,736.0,USA,PG,200000000.0,2010.0,25000.0,6.5,24000.0,134185206.0,67.092603
34,Brett Ratner,334.0,104.0,420.0,560.0,Kelsey Grammer,20000.0,234360014.0,Hugh Jackman,X-Men: The Last Stand ,383427.0,21714.0,Daniel Cudmore,0.0,battle|mutant|outrage|walking through a wall|x men,1912.0,Others,PG-13,210000000.0,2006.0,808.0,6.8,0.0,24360014.0,11.600006666666667
35,Dan Scanlon,376.0,104.0,37.0,760.0,Tyler Labine,12000.0,268488329.0,Steve Buscemi,Monsters University ,235025.0,14863.0,Sean Hayes,0.0,cheating|fraternity|monster|singing in a car|university,265.0,USA,G,200000000.0,2013.0,779.0,7.3,44000.0,68488329.0,34.244164500000004
36,Michael Bay,366.0,150.0,0.0,464.0,Kevin Dunn,894.0,402076689.0,Glenn Morshower,Transformers: Revenge of the Fallen ,323207.0,3218.0,Ramon Rodriguez,0.0,autobot|decepticon|machine|sun|symbol,1439.0,USA,PG-13,200000000.0,2009.0,581.0,6.0,0.0,202076689.0,101.0383445
37,Michael Bay,378.0,165.0,0.0,808.0,Sophia Myles,974.0,245428137.0,Bingbing Li,Transformers: Age of Extinction ,242420.0,3988.0,Kelsey Grammer,2.0,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,918.0,USA,PG-13,210000000.0,2014.0,956.0,5.7,56000.0,35428137.0,16.87054142857143
38,Sam Raimi,525.0,130.0,0.0,11000.0,Mila Kunis,44000.0,234903076.0,Tim Holmes,Oz the Great and Powerful ,175409.0,73441.0,James Franco,4.0,circus|magic|magician|oz|witch,511.0,USA,PG,215000000.0,2013.0,15000.0,6.4,60000.0,19903076.0,9.257244651162791
39,Marc Webb,495.0,142.0,464.0,825.0,Andrew Garfield,15000.0,202853933.0,Emma Stone,The Amazing Spider-Man 2 ,321227.0,28631.0,B.J. Novak,0.0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,1067.0,USA,PG-13,200000000.0,2014.0,10000.0,6.7,41000.0,2853933.0,1.4269665
40,Joseph Kosinski,469.0,125.0,364.0,1000.0,Olivia Wilde,12000.0,172051787.0,Jeff Bridges,TRON: Legacy ,264183.0,25550.0,James Frain,0.0,arcade|bridge|disappearance|escape|warrior,665.0,USA,PG,170000000.0,2010.0,10000.0,6.8,30000.0,2051787.0,1.2069335294117647
41,John Lasseter,304.0,106.0,487.0,776.0,Thomas Kretschmann,1000.0,191450875.0,Joe Mantegna,Cars 2 ,101178.0,4482.0,Eddie Izzard,0.0,best friend|car race|conspiracy|gadget car|spy,283.0,USA,G,200000000.0,2011.0,919.0,6.3,10000.0,-8549125.0,-4.2745625
42,Martin Campbell,436.0,123.0,258.0,326.0,Temuera Morrison,16000.0,116593191.0,Ryan Reynolds,Green Lantern ,223393.0,17657.0,Taika Waititi,2.0,autopsy|lantern|planet|ring|test pilot,550.0,USA,PG-13,200000000.0,2011.0,368.0,5.6,24000.0,-83406809.0,-41.703404500000005
43,Lee Unkrich,453.0,103.0,125.0,721.0,John Ratzenberger,15000.0,414984497.0,Tom Hanks,Toy Story 3 ,544884.0,19085.0,Don Rickles,3.0,college|day care|escape|teddy bear|toy,733.0,USA,G,200000000.0,2010.0,1000.0,8.3,30000.0,214984497.0,107.49224850000002
44,McG,422.0,118.0,368.0,988.0,Bryce Dallas Howard,23000.0,125320003.0,Christian Bale,Terminator Salvation ,286095.0,27468.0,Common,0.0,death row|future|machine|rescue|skynet,974.0,USA,PG-13,200000000.0,2009.0,3000.0,6.6,0.0,-74679997.0,-37.3399985
45,James Wan,424.0,140.0,0.0,14000.0,Paul Walker,26000.0,350034110.0,Jason Statham,Furious 7 ,278232.0,79150.0,Vin Diesel,0.0,car falling off a cliff|hospital|revenge|star died before release|terrorist,657.0,USA,PG-13,190000000.0,2015.0,23000.0,7.2,94000.0,160034110.0,84.22847894736843
46,Marc Forster,654.0,123.0,395.0,1000.0,Brad Pitt,17000.0,202351611.0,Peter Capaldi,World War Z ,465019.0,32392.0,Mireille Enos,0.0,chaos|disease|infection|pandemic|zombie,995.0,USA,PG-13,190000000.0,2013.0,11000.0,7.0,129000.0,12351611.0,6.500847894736841
47,Bryan Singer,539.0,149.0,0.0,20000.0,Peter Dinklage,34000.0,233914986.0,Jennifer Lawrence,X-Men: Days of Future Past ,514125.0,91434.0,Hugh Jackman,7.0,dystopia|super strength|supernatural power|time paradox|time travel,752.0,USA,PG-13,200000000.0,2014.0,22000.0,8.0,82000.0,33914986.0,16.957493
48,J.J. Abrams,590.0,132.0,14000.0,928.0,Bruce Greenwood,19000.0,228756232.0,Benedict Cumberbatch,Star Trek Into Darkness ,395573.0,21411.0,Noel Clarke,0.0,admiral|captain|manhunt|mission|space,1171.0,USA,PG-13,190000000.0,2013.0,981.0,7.8,92000.0,38756232.0,20.398016842105264
49,Bryan Singer,338.0,114.0,0.0,140.0,Ewen Bremner,979.0,65171860.0,Eddie Marsan,Jack the Giant Slayer ,106416.0,1766.0,Ralph Brown,1.0,bean|giant|king|no opening credits|princess,205.0,USA,PG-13,195000000.0,2013.0,557.0,6.3,22000.0,-129828140.0,-66.57853333333334
50,Baz Luhrmann,490.0,143.0,1000.0,77.0,Elizabeth Debicki,29000.0,144812796.0,Leonardo DiCaprio,The Great Gatsby ,362912.0,29770.0,Steve Bisley,4.0,ingratitude|mansion|party|title appears in writing|tragedy,753.0,Others,PG-13,105000000.0,2013.0,509.0,7.3,115000.0,39812796.0,37.91694857142857
51,Mike Newell,306.0,116.0,179.0,236.0,Richard Coyle,15000.0,90755643.0,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403.0,16149.0,Reece Ritchie,2.0,alamut|dagger|king|persia|princess,453.0,USA,PG-13,200000000.0,2010.0,567.0,6.6,23000.0,-109244357.0,-54.6221785
52,Guillermo del Toro,575.0,131.0,0.0,919.0,Clifton Collins Jr.,16000.0,101785482.0,Charlie Hunnam,Pacific Rim ,381148.0,19166.0,Larry Joe Campbell,0.0,giant monster|kaiju|pilot|portal|robot,1106.0,USA,PG-13,190000000.0,2013.0,968.0,7.0,83000.0,-88214518.0,-46.42869368421053
53,Michael Bay,428.0,154.0,0.0,581.0,Lester Speight,894.0,352358779.0,Glenn Morshower,Transformers: Dark of the Moon ,326180.0,2593.0,Kevin Dunn,2.0,autobot|decepticon|job interview|moon|spacecraft,899.0,USA,PG-13,195000000.0,2011.0,829.0,6.3,46000.0,157358779.0,80.69680974358975
54,Steven Spielberg,470.0,122.0,14000.0,1000.0,Ray Winstone,11000.0,317011114.0,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847.0,14959.0,Jim Broadbent,2.0,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,2054.0,USA,PG-13,185000000.0,2008.0,1000.0,6.2,5000.0,132011114.0,71.35735891891892
55,Peter Sohn,298.0,93.0,113.0,113.0,Jack McGraw,275.0,123070338.0,A.J. Buckley,The Good Dinosaur ,62836.0,696.0,Peter Sohn,0.0,apatosaurus|asteroid|dinosaur|fear|river,345.0,USA,PG,0.0,2015.0,150.0,6.8,20000.0,123070338.0,inf
56,Mark Andrews,488.0,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Kelly Macdonald,Brave ,273556.0,5005.0,Julie Walters,0.0,archery|coming of age|female warrior|princess|rebellious daughter,428.0,USA,PG,185000000.0,2012.0,1000.0,7.2,39000.0,52282182.0,28.260638918918918
57,Justin Lin,322.0,122.0,681.0,105.0,Melissa Roxburgh,998.0,130468626.0,Sofia Boutella,Star Trek Beyond ,53607.0,1327.0,Lydia Wilson,4.0,hatred|sequel|space opera|star trek|third part,432.0,USA,PG-13,185000000.0,2016.0,119.0,7.5,30000.0,-54531374.0,-29.476418378378376
58,Andrew Stanton,421.0,98.0,475.0,522.0,Fred Willard,1000.0,223806889.0,John Ratzenberger,WALL·E ,718837.0,2975.0,Jeff Garlin,0.0,earth|obesity|plant|robot|soil,1043.0,USA,G,180000000.0,2008.0,729.0,8.4,16000.0,43806889.0,24.337160555555556
59,Brett Ratner,162.0,91.0,420.0,173.0,Dana Ivey,268.0,140080850.0,Tzi Ma,Rush Hour 3 ,121084.0,1125.0,Noémie Lenoir,2.0,ambassador|assassination|chinese|french|triad,221.0,USA,PG-13,140000000.0,2007.0,268.0,6.2,0.0,80850.0,0.05775
60,Roland Emmerich,367.0,158.0,776.0,310.0,Liam James,1000.0,166112167.0,Oliver Platt,2012 ,283418.0,2144.0,Tom McCarthy,0.0,ark|catastrophe|geologist|president|writer,1055.0,USA,PG-13,200000000.0,2009.0,468.0,5.8,13000.0,-33887833.0,-16.9439165
61,Robert Zemeckis,240.0,96.0,0.0,10000.0,Colin Firth,18000.0,137850096.0,Robin Wright,A Christmas Carol ,72809.0,48878.0,Gary Oldman,0.0,charles dickens|christmas|christmas eve|ghost|scrooge,249.0,USA,PG,200000000.0,2009.0,14000.0,6.8,0.0,-62149904.0,-31.074952
62,Lana Wachowski,384.0,127.0,0.0,13000.0,Mila Kunis,17000.0,47375327.0,Channing Tatum,Jupiter Ascending ,139593.0,47334.0,Eddie Redmayne,1.0,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,720.0,USA,PG-13,176000000.0,2015.0,15000.0,5.4,44000.0,-128624673.0,-73.08220056818182
63,David Yates,248.0,110.0,282.0,103.0,Alexander Skarsgård,11000.0,124051759.0,Christoph Waltz,The Legend of Tarzan ,42372.0,21175.0,Casper Crump,2.0,africa|capture|jungle|male objectification|tarzan,239.0,USA,PG-13,180000000.0,2016.0,10000.0,6.6,29000.0,-55948241.0,-31.08235611111111
64,Andrew Adamson,284.0,150.0,80.0,82.0,Kiran Shah,1000.0,291709845.0,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506.0,1317.0,Shane Rangi,5.0,hide and seek|lion|magic|professor|snow,1463.0,USA,PG,180000000.0,2005.0,190.0,6.9,0.0,111709845.0,62.061025
65,Bryan Singer,396.0,144.0,0.0,1000.0,Michael Fassbender,34000.0,154985087.0,Jennifer Lawrence,X-Men: Apocalypse ,148379.0,49684.0,Tye Sheridan,6.0,mutant|superhero|superhero team|x men|year 1983,622.0,USA,PG-13,178000000.0,2016.0,13000.0,7.3,54000.0,-23014913.0,-12.929726404494382
66,Christopher Nolan,645.0,152.0,22000.0,11000.0,Heath Ledger,23000.0,533316061.0,Christian Bale,The Dark Knight ,1676169.0,57802.0,Morgan Freeman,0.0,based on comic book|dc comics|psychopath|star died before release|urban setting,4667.0,USA,PG-13,185000000.0,2008.0,13000.0,9.0,37000.0,348316061.0,188.2789518918919
67,Pete Docter,408.0,96.0,0.0,262.0,Delroy Lindo,1000.0,292979556.0,John Ratzenberger,Up ,665575.0,2635.0,Jess Harnell,1.0,balloon|house|promise|retirement|skeleton,704.0,USA,PG,175000000.0,2009.0,848.0,8.3,27000.0,117979556.0,67.41688914285714
68,Rob Letterman,219.0,94.0,11.0,459.0,Rainn Wilson,1000.0,198332128.0,Amy Poehler,Monsters vs. Aliens ,114553.0,2579.0,Stephen Colbert,2.0,alien|alien invasion|alien space craft|giant|giantess,187.0,USA,PG,175000000.0,2009.0,973.0,6.5,0.0,23332128.0,13.33264457142857
69,Jon Favreau,486.0,126.0,4000.0,4000.0,Jeff Bridges,21000.0,318298180.0,Robert Downey Jr.,Iron Man ,696338.0,39252.0,Jon Favreau,3.0,afghanistan|billionaire|inventor|playboy|u.s. air force,1055.0,USA,PG-13,140000000.0,2008.0,12000.0,7.9,10000.0,178298180.0,127.35584285714285
70,Martin Scorsese,682.0,126.0,17000.0,1000.0,Christopher Lee,17000.0,73820094.0,Chloë Grace Moretz,Hugo ,245333.0,36017.0,Ray Winstone,0.0,automaton|mechanical|railway station|steampunk|train,678.0,USA,PG,170000000.0,2011.0,16000.0,7.5,42000.0,-96179906.0,-56.576415294117645
71,Barry Sonnenfeld,85.0,106.0,188.0,582.0,Salma Hayek,10000.0,113745408.0,Will Smith,Wild Wild West ,129601.0,15870.0,Bai Ling,2.0,buddy movie|general|inventor|steampunk|utah,648.0,USA,PG-13,170000000.0,1999.0,4000.0,4.8,0.0,-56254592.0,-33.09093647058823
72,Rob Cohen,264.0,112.0,357.0,595.0,Brendan Fraser,5000.0,102176165.0,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927.0,9131.0,Russell Wong,2.0,army|china|emperor|mummy|shangri la,501.0,USA,PG-13,145000000.0,2008.0,3000.0,5.2,0.0,-42823835.0,-29.53367931034483
73,David Ayer,418.0,123.0,452.0,329.0,Robin Atkin Downes,10000.0,161087183.0,Will Smith,Suicide Squad ,118992.0,11287.0,Ike Barinholtz,8.0,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,971.0,USA,PG-13,175000000.0,2016.0,336.0,6.9,80000.0,-13912817.0,-7.950181142857144
74,Tom Shadyac,186.0,96.0,293.0,7000.0,Morgan Freeman,87000.0,100289690.0,Jimmy Bennett,Evan Almighty ,115099.0,108016.0,Steve Carell,0.0,ark|change|congressman|depiction of god|flood,257.0,USA,PG,175000000.0,2007.0,11000.0,5.4,2000.0,-74710310.0,-42.691605714285714
75,Doug Liman,585.0,113.0,218.0,509.0,Lara Pulver,10000.0,100189501.0,Tom Cruise,Edge of Tomorrow ,431620.0,12652.0,Noah Taylor,1.0,alien|combat|dying repeatedly|end of the world|time loop,741.0,USA,PG-13,178000000.0,2014.0,854.0,7.9,77000.0,-77810499.0,-43.71376348314607
76,Kevin Reynolds,91.0,176.0,58.0,60.0,Rick Aviles,711.0,88246220.0,Jeanne Tripplehorn,Waterworld ,144337.0,1004.0,Zakes Mokae,0.0,future|sail|sea|smoker|water,309.0,USA,PG-13,175000000.0,1995.0,60.0,6.1,0.0,-86753780.0,-49.57358857142857
77,Stephen Sommers,250.0,118.0,208.0,570.0,Dennis Quaid,23000.0,150167630.0,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578.0,26683.0,Leo Howard,4.0,cobra|gi joe|snake|train|warhead,534.0,USA,PG-13,175000000.0,2009.0,2000.0,5.8,0.0,-24832370.0,-14.189925714285714
78,Pete Docter,536.0,95.0,0.0,384.0,Mindy Kaling,1000.0,356454367.0,Amy Poehler,Inside Out ,345198.0,2944.0,Phyllis Smith,1.0,anger|joy|memory|running away|sadness,773.0,USA,PG,175000000.0,2015.0,767.0,8.3,118000.0,181454367.0,103.68820971428572
79,Jon Favreau,370.0,106.0,4000.0,591.0,Bill Murray,19000.0,362645141.0,Scarlett Johansson,The Jungle Book ,106072.0,32921.0,Garry Shandling,0.0,fire|jungle|remake|tiger|wolf,398.0,UK,PG,175000000.0,2016.0,13000.0,7.8,65000.0,187645141.0,107.22579485714286
80,Jon Favreau,453.0,124.0,4000.0,4000.0,Scarlett Johansson,21000.0,312057433.0,Robert Downey Jr.,Iron Man 2 ,522371.0,48638.0,Jon Favreau,4.0,hammer|military|monaco|revenge|tony stark,723.0,USA,PG-13,200000000.0,2010.0,19000.0,7.0,18000.0,112057433.0,56.028716499999994
81,Rupert Sanders,416.0,132.0,274.0,11000.0,Kristen Stewart,26000.0,155111815.0,Chris Hemsworth,Snow White and the Huntsman ,228554.0,72881.0,Sam Claflin,0.0,evil queen|fairy tale|magic|queen|snow white,710.0,USA,PG-13,170000000.0,2012.0,17000.0,6.1,53000.0,-14888185.0,-8.75775588235294
82,Robert Stromberg,401.0,97.0,171.0,846.0,Sharlto Copley,11000.0,241407328.0,Angelina Jolie Pitt,Maleficent ,252257.0,15516.0,Sam Riley,2.0,curse|dark fantasy|fairy|king|kingdom,634.0,USA,PG,180000000.0,2014.0,2000.0,7.0,89000.0,61407328.0,34.115182222222224
83,Matt Reeves,521.0,130.0,198.0,884.0,Judy Greer,10000.0,208543795.0,Gary Oldman,Dawn of the Planet of the Apes ,317542.0,14363.0,Kodi Smit-McPhee,0.0,ape|dam|leader|post apocalypse|sequel,620.0,USA,PG-13,170000000.0,2014.0,2000.0,7.6,45000.0,38543795.0,22.672820588235293
84,Roland Joffé,10.0,109.0,596.0,283.0,Alice Englert,622.0,0.0,Tamsin Egerton,The Lovers ,2138.0,1982.0,Bipasha Basu,3.0,1770s|british india|great barrier reef|india|ring,15.0,Others,R,0.0,2015.0,525.0,4.5,677.0,0.0,0.0
